2021,277
2020,517
2019,633
2018,767
2017,767
2016,658
2015,398
2014,264
2013,225
2012,173
2011,145
2010,154
2009,118
2008,113
2007,74
2006,82
2005,67
2004,55
2003,51
2002,44
2001,40
2000,33
1999,32
1998,32
1997,34
1996,21
1995,23
1994,20
1993,24
1992,20
1991,16
1990,19
1989,15
1988,16
1987,8
1986,11
1985,9
1984,12
1983,11
1982,17
1981,12
1980,11
1979,10
1978,7
1977,6
1976,9
1975,7
1974,6
1973,10
1972,4
1971,5
1970,2
1969,2
1968,3
1967,4
1966,1
1965,2
1964,2
1963,1
1962,3
1961,1
1960,4
1959,1
1958,3
1956,2
1955,3
1954,2
1947,1
1946,1
1945,3
1944,3
1943,3
1942,2
